mana,cardtype,artist,name,rarity
3WW,Creature — Archon 3/4,Steven Belledin,Archon of Redemption,Rare
4W,Creature — Giant 3/3,Christopher Moeller,Battle Hurda,Common
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      175 cards
    ",,,
,,,,
7,Planeswalker — Karn (Loyalty: 6),Jason Chan,Karn Liberated,Mythic Rare
1{WP},Instant,Brad Rigney,Apostle's Blessing,Common
5W,Creature — Human Soldier 4/6,James Ryman,Auriok Survivors,Uncommon
2W,Creature — Human Artificer 1/1,Greg Staples,Blade Splicer,Rare
1{WP},Artifact Creature — Wall 0/3,Richard Whitters,Cathedral Membrane,Uncommon
4WWW,Creature — Angel 5/6,Min Yum,Chancellor of the Annex,Rare
W,Instant,Erica Yang,Dispatch,Uncommon
1W,Instant,James Ryman,Due Respect,Uncommon
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      171 cards
    ",,,
,,,,
7W,Sorcery,Volkan Baga,Archangel's Light,Mythic Rare
2W,Instant,Ryan Pancoast,Bar the Door,Common
1W,Instant,Karl Kopinski,Break of Day,Common
W,Enchantment — Aura,John Stanko,Burden of Guilt,Common
2WW,Enchantment — Aura Curse,Slawomir Maniak,Curse of Exhaustion,Uncommon
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      249 cards
    ",,,
,,,,
1W,Creature — Cat Cleric 1/1,Igor Kieryluk,Abuna Acolyte,Uncommon
2W,Enchantment — Aura,Daarken,Arrest,Common
WW,Creature — Human Soldier 2/2,Mike Bierek,Auriok Edgewright,Uncommon
1W,Creature — Human Soldier 1/1,James Ryman,Auriok Sunchaser,Common
WW,Creature — Cat Knight 2/2,Jana Schirmer &amp; Johannes Voss,Leonin Skyhunter,Common
4W,Creature — Elephant Soldier 3/4,Matt Stewart,Loxodon Partisan,Common
2W,Instant,David Rapoza,Master's Call,Common
1WW,Creature — Human Knight 2/2,Eric Deschamps,Mirran Crusader,Rare
4WW,Sorcery,Scott Chou,Phyrexian Rebirth,Rare
2W,Creature — Cleric 1/4,Igor Kieryluk,Priests of Norn,Common
1W,Enchantment — Aura,Steve Argyle,Bonds of Faith,Common
W,Creature — Human Soldier 1/1,Svetlin Velinov,Champion of the Parish,Rare
1WW,Creature — Spirit 2/3,Peter Mohrbacher,Chapel Geist,Common
1W,Creature — Human 1/1,Igor Kieryluk,Cloistered Youth,Uncommon
,Creature — Horror 3/3,Igor Kieryluk,Unholy Fiend,Uncommon
4WW,Creature — Spirit 5/5,Daniel Ljunggren,Dearly Departed,Rare
2WW,Sorcery,Greg Staples,Divine Reckoning,Rare
9,Creature — Eldrazi 7/7,Chippy,Hand of Emrakul,Common
10,Legendary Creature — Eldrazi 12/12,Michael Komarck,"Kozilek, Butcher of Truth",Mythic Rare
,"
      244 cards
    ",,,
1W,Creature — Griffin 2/2,Christopher Moeller,Fledgling Griffin,Common
2W,Enchantment — Aura,John Avon,Guardian Zendikon,Common
W,Creature — Human Soldier Ally 0/1,Cyril Van Der Haegen,Hada Freeblade,Uncommon
4W,Sorcery,Mike Bierek,Iona's Judgment,Common
3W,Instant,Kekai Kotaki,Join the Ranks,Common
W,Creature — Kor Soldier 1/1,Austin Hsu,Kitesail Apprentice,Common
WW,Creature — Kor Soldier 2/2,Matt Stewart,Kor Firewalker,Uncommon
3W,Creature — Angel 2/4,James Ryman,Lightkeeper of Emeria,Uncommon
5WW,Legendary Creature — Praetor 4/7,Igor Kieryluk,"Elesh Norn, Grand Cenobite",Mythic Rare
4WW,Enchantment,Daniel Ljunggren,Exclusion Ritual,Uncommon
1W,Enchantment — Aura,Karl Kopinski,Forced Worship,Common
WW,Creature — Cleric 2/2,Igor Kieryluk,Inquisitor Exarch,Uncommon
1W,Creature — Cat Soldier 2/1,Min Yum,Lost Leonin,Common
3W,Creature — Elephant Soldier 4/2,Adrian Smith,Loxodon Convert,Common
{WP},Instant,Raymond Swanland,Marrow Shards,Uncommon
3W,Creature — Human Artificer 1/1,Chippy,Master Splicer,Uncommon
3W,Creature — Human Cleric 2/2,Slawomir Maniak,Elgaud Inquisitor,Common
2W,Instant,Austin Hsu,Dispense Justice,Uncommon
3WW,Planeswalker — Elspeth (Loyalty: 4),Michael Komarck,Elspeth Tirel,Mythic Rare
2W,Instant,Nic Klein,Fulgent Distraction,Common
3W,Creature — Elephant Soldier 2/4,Mike Bierek,Ghalma's Warden,Common
2WW,Creature — Elk 3/3,Ryan Pancoast,Glimmerpoint Stag,Uncommon
W,Creature — Bird 2/2,Dave Allsop,Glint Hawk,Common
2WW,Creature — Angel 4/4,Allen Williams,Indomitable Archangel,Mythic Rare
1WW,Legendary Creature — Cat Cleric 2/4,Todd Lockwood,"Kemba, Kha Regent",Rare
3W,Creature — Bird 2/1,Adrian Smith,Tine Shrike,Common
3WWW,Creature — Angel 4/4,rk post,Victory's Herald,Rare
XWWW,Instant,Mike Bierek,White Sun's Zenith,Rare
XUUU,Instant,Izzy,Blue Sun's Zenith,Rare
4UU,Creature — Sphinx 4/6,Mark Zug,Consecrated Sphinx,Mythic Rare
W,Creature — Human Soldier 1/1,Lars Grant-West,Doomed Traveler,Common
2W,Creature — Human Soldier 2/2,Chris Rahn,Elder Cathar,Common
WW,Creature — Human Soldier 2/2,Jana Schirmer &amp; Johannes Voss,Elite Inquisitor,Rare
1W,Instant,John Stanko,Feeling of Dread,Common
1WW,Creature — Human Cleric 1/3,Wayne Reynolds,Fiend Hunter,Uncommon
4W,Creature — Spirit 3/3,Dan Scott,Gallows Warden,Uncommon
3WW,Creature — Human Monk */*,Clint Cearley,Geist-Honored Monk,Rare
2W,Enchantment — Aura,Howard Lyon,Ghostly Possession,Common
12,Creature — Eldrazi 11/11,Tomasz Jedruszek,It That Betrays,Rare
7,Tribal Instant — Eldrazi,Izzy,Not of This World,Uncommon
11,Creature — Eldrazi 9/9,Austin Hsu,Pathrazer of Ulamog,Uncommon
7,Tribal Sorcery — Eldrazi,Eric Deschamps,Skittering Invasion,Uncommon
10,Creature — Eldrazi 7/11,Izzy,Spawnsire of Ulamog,Rare
11,Legendary Creature — Eldrazi 10/10,Aleksi Briclot,"Ulamog, the Infinite Gyre",Mythic Rare
8,Creature — Eldrazi 8/8,Todd Lockwood,Ulamog's Crusher,Common
2W,Creature — Hound 2/2,Ryan Pancoast,Affa Guard Hound,Uncommon
,,,,
5WW,Creature — Angel 4/6,James Ryman,Angel of Glory's Rise,Rare
W,Creature — Cat 1/1,Daniel Ljunggren,Loam Lion,Uncommon
1W,Creature — Kor Scout 2/1,David Palumbo,Marsh Threader,Common
2WW,Enchantment,Matt Stewart,Marshal's Anthem,Rare
W,Creature — Human Soldier 0/4,Steven Belledin,Perimeter Captain,Uncommon
3W,Instant — Trap,Zoltan Boros &amp; Gabor Szikszai,Refraction Trap,Uncommon
1W,Instant,James Paick,Rest for the Weary,Common
1W,Creature — Spirit 1/1,Jason A. Engle,Ruin Ghost,Uncommon
1W,Creature — Kor Artificer 1/2,Mike Bierek,Stoneforge Mystic,Rare
3W,Creature — Human Knight Ally 2/3,Svetlin Velinov,Talus Paladin,Rare
2W,Enchantment,Daniel Ljunggren,Terra Eternal,Rare
W,Instant,Scott Chou,Veteran's Reflexes,Common
2U,Instant,Kieran Yanner,Æther Tradewinds,Common
3{WP}{WP},Artifact,James Paick,Norn's Annex,Rare
2W,Enchantment,Jason Chan,Phyrexian Unlife,Rare
2{WP},Artifact Creature — Soldier 3/1,Eric Deschamps,Porcelain Legionnaire,Common
WW,Creature — Human Knight 2/2,Jason Chan,Puresteel Paladin,Rare
2W,Sorcery,Eric Deschamps,Remember the Fallen,Common
4W,Creature — Artificer 1/1,Izzy,Sensor Splicer,Common
3WW,Creature — Angel 3/3,Kev Walker,Shattered Angel,Uncommon
3WW,Creature — Bird 2/3,Efrem Palacios,Shriek Raptor,Common
1W,Creature — Cleric 1/1,Igor Kieryluk,Suture Priest,Common
3W,Instant,Mike Bierek,War Report,Common
2U,Instant,Jana Schirmer &amp; Johannes Voss,Argent Mutation,Uncommon
2U,Sorcery,Austin Hsu,Arm with Æther,Uncommon
1U,Creature — Human Rogue 1/1,Anthony Francisco,Blighted Agent,Common
W,Instant,Svetlin Velinov,Faith's Shield,Uncommon
1W,Sorcery,Dan Scott,Gather the Townsfolk,Common
2W,Creature — Human Soldier 1/4,Karl Kopinski,Gavony Ironwright,Uncommon
3W,Creature — Spirit 2/2,Lars Grant-West,Hollowhenge Spirit,Uncommon
3WW,Sorcery,Daniel Ljunggren,Increasing Devotion,Rare
1WW,Creature — Cat Knight 2/2,Whit Brachna,Kemba's Skyguard,Common
1W,Creature — Cat Cleric 2/2,Shelly Wan,Leonin Arbiter,Rare
2W,Creature — Elephant Monk 1/5,Steven Belledin,Loxodon Wayfarer,Common
1W,Creature — Human Artificer 2/1,Eric Deschamps,Myrsmith,Uncommon
3WW,Creature — Hippogriff 3/3,David Rapoza,Razor Hippogriff,Uncommon
1W,Sorcery,Allen Williams,Revoke Existence,Common
3UU,Enchantment — Aura,Jason Chan,Corrupted Conscience,Uncommon
1UU,Creature — Shapeshifter 2/2,Eric Deschamps,Cryptoplasm,Rare
2UU,Sorcery,Karl Kopinski,Distant Memories,Rare
2UU,Instant,Steven Belledin,Fuel for the Cause,Common
2U,Creature — Drone 1/3,Dave Kendall,Mirran Spy,Common
1UU,Sorcery,Dan Scott,Mitotic Manipulation,Rare
1UU,Creature — Human Rogue 2/1,Matt Stewart,Neurok Commando,Uncommon
1U,Creature — Homunculus 1/1,Dan Scott,Oculus,Common
1W,Enchantment,Clint Cearley,Intangible Virtue,Uncommon
3W,Creature — Human Scout 2/2,David Palumbo,Mausoleum Guard,Uncommon
2W,Creature — Human Soldier 2/2,Jana Schirmer &amp; Johannes Voss,Mentor of the Meek,Rare
2W,Instant,Matt Stewart,Midnight Haunting,Uncommon
XW,Legendary Creature — Human Cleric 0/0,Steven Belledin,"Mikaeus, the Lunarch",Mythic Rare
1W,Instant,Christopher Moeller,Moment of Heroism,Common
1WW,Enchantment,Jason A. Engle,Nevermore,Rare
2W,Sorcery,Ryan Yee,Paraselene,Uncommon
W,Creature — Human Knight 1/1,Goran Josic,Caravan Escort,Common
2W,Creature — Kor Wizard 2/1,Steve Argyle,Dawnglare Invoker,Common
4WW,Creature — Angel 5/7,Johann Bodin,Deathless Angel,Rare
W,Instant,Véronique Meignaud,Demystify,Common
1W,Enchantment — Aura,Howard Lyon,Eland Umbra,Common
W,Instant,Steve Argyle,Emerge Unscathed,Uncommon
3WW,Planeswalker — Gideon (Loyalty: 6),Aleksi Briclot,Gideon Jura,Mythic Rare
1W,Creature — Human Soldier 2/2,Matt Cavotta,Glory Seeker,Common
1WWW,Creature — Angel 3/3,Terese Nielsen,Angel of Jubilation,Rare
2WW,Instant,Greg Staples,Angel's Mercy,Common
1W,Creature — Wall 0/4,Allen Williams,Angelic Wall,Common
5WW,Creature — Angel 5/5,Cynthia Sheppard,Archangel,Uncommon
5WWW,Legendary Creature — Angel 8/8,Jason Chan,"Avacyn, Angel of Hope",Mythic Rare
5W,Instant,Igor Kieryluk,Banishing Stroke,Uncommon
3W,Enchantment,John Stanko,Builder's Blessing,Uncommon
1W,Enchantment — Aura,Jaime Jones,Call to Serve,Common
3WW,Enchantment,Karl Kopinski,Cathars' Crusade,Rare
1UU,Creature — Turtle 1/4,David Palumbo,Calcite Snapper,Common
U,Instant,Vance Kovacs,Dispel,Common
2U,Creature — Merfolk Soldier 2/2,Igor Kieryluk,Enclave Elite,Common
5UU,Creature — Sphinx 8/7,Greg Staples,Goliath Sphinx,Rare
1U,Creature — Human Wizard Ally 1/3,Kev Walker,Halimar Excavator,Common
1UU,Creature — Drake 3/1,Adi Granov,Horizon Drake,Uncommon
2UU,Planeswalker — Jace (Loyalty: 3),Jason Chan,"Jace, the Mind Sculptor",Mythic Rare
1U,Creature — Shapeshifter Ally 0/0,Kev Walker,Jwari Shapeshifter,Rare
4U,Instant,Véronique Meignaud,Mysteries of the Deep,Common
5U,Creature — Horror 5/5,Stephan Martiniere,Chained Throatseeker,Common
4UUU,Creature — Sphinx 5/7,Nils Hamm,Chancellor of the Spires,Rare
1U,Instant,Greg Staples,Corrupted Resolve,Uncommon
2U,Creature — Cleric 1/4,Izzy,Deceiver Exarch,Uncommon
U,Enchantment — Aura,Dan Scott,Defensive Stance,Common
{UP},Sorcery,Chippy,Gitaxian Probe,Common
2UU,Creature — Bird 3/1,Nils Hamm,Impaler Shrike,Common
8UU,Legendary Creature — Praetor 5/4,Eric Deschamps,"Jin-Gitaxias, Core Augur",Mythic Rare
2W,Sorcery,Bud Cook,Lingering Souls,Uncommon
WW,Creature — Human Soldier 2/2,Ryan Pancoast,Loyal Cathar,Common
,Creature — Zombie Soldier 2/1,Ryan Pancoast,Unhallowed Cathar,Common
2W,Creature — Human Soldier 2/3,Jason A. Engle,Midnight Guard,Common
2W,Creature — Spirit 2/1,Igor Kieryluk,Niblis of the Mist,Common
1W,Creature — Spirit 1/1,Igor Kieryluk,Niblis of the Urn,Uncommon
1W,Instant,Cliff Childs,Ray of Revelation,Common
5W,Creature — Angel 5/5,Eric Deschamps,Requiem Angel,Rare
W,Creature — Cat 1/2,David Palumbo,Sanctuary Cat,Common
W,Creature — Human Scout 1/1,Randis Albion,Salvage Scout,Common
W,Instant,Steve Argyle,Seize the Initiative,Common
1W,Instant,Igor Kieryluk,Soul Parry,Common
4WW,Creature — Angel 4/5,Jason Chan,Sunblast Angel,Rare
1W,Creature — Cat Soldier 2/2,Allen Williams,Sunspear Shikari,Common
1WW,Enchantment,Wayne Reynolds,Tempered Steel,Rare
3WWW,Enchantment,Svetlin Velinov,True Conviction,Rare
3W,Enchantment,Igor Kieryluk,Vigil for the Lost,Uncommon
1W,Instant,John Avon,Whitesun's Passage,Common
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      269 cards
    ",,,
,,,,
WW,Creature — Kor Soldier 2/2,Steven Belledin,Armament Master,Rare
3WW,Instant — Trap,Steve Argyle,Arrow Volley Trap,Uncommon
2W,Instant,Scott Chou,Bold Defense,Common
W,Instant,Goran Josic,Brave the Elements,Uncommon
4W,Creature — Giant 1/5,Dave Kendall,Caravan Hurda,Common
4U,Instant,Erica Yang,Quicksilver Geyser,Common
2UU,Creature — Drake 3/2,Austin Hsu,Serum Raker,Common
4U,Creature — Serpent 3/5,Johann Bodin,Spire Serpent,Common
U,Instant,Daarken,Steel Sabotage,Common
2U,Creature — Human Wizard 2/2,Ryan Pancoast,Treasure Mage,Uncommon
1U,Instant,Jason Felix,Turn the Tide,Common
2U,Creature — Vedalken Wizard 1/2,Greg Staples,Vedalken Anatomist,Uncommon
3U,Creature — Vedalken Wizard 1/4,Ryan Pancoast,Vedalken Infuser,Uncommon
W,Instant,Drew Baker,Purify the Grave,Uncommon
2W,Instant,Jaime Jones,Rally the Peasants,Uncommon
2W,Instant,Igor Kieryluk,Rebuke,Common
W,Creature — Human Cleric 1/1,Slawomir Maniak,Selfless Cathar,Common
1W,Creature — Fox 2/2,Howard Lyon,Silverchase Fox,Common
3W,Creature — Human Soldier 3/2,Anthony Palumbo,Slayer of the Wicked,Uncommon
3W,Instant,Jason Felix,Smite the Monstrous,Common
1W,Instant,Jason Felix,Spare from Evil,Common
W,Enchantment — Aura,Karl Kopinski,Guard Duty,Common
2WW,Instant,Chippy,Harmless Assault,Common
2W,Creature — Human Cleric 0/3,Scott Chou,Hedron-Field Purists,Rare
W,Enchantment — Aura,Howard Lyon,Hyena Umbra,Common
1W,Creature — Human Soldier 1/2,Kekai Kotaki,Ikiral Outrider,Common
3W,Creature — Human Knight 2/4,Steven Belledin,Kabira Vindicator,Uncommon
1W,Creature — Kor Knight 2/2,Matt Cavotta,Knight of Cliffhaven,Common
1W,Creature — Kor Scout 0/1,Steve Prescott,Kor Line-Slinger,Common
W,Creature — Human Cleric 1/1,Michael C. Hayes,Cathedral Sanctifier,Common
W,Instant,Howard Lyon,Cloudshift,Common
4W,Enchantment — Aura,Johannes Voss,Commander's Authority,Uncommon
1W,Instant,Sam Wolfe Connelly,Cursebreak,Common
1W,Enchantment — Aura,Steven Belledin,Defang,Common
3WW,Sorcery,Karl Kopinski,Defy Death,Uncommon
2W,Creature — Human Cleric 2/2,Lucas Graciano,Devout Chaplain,Uncommon
XW,Instant,Steve Prescott,Divine Deflection,Rare
2UU,Instant — Trap,Howard Lyon,Permafrost Trap,Uncommon
U,Enchantment,Rob Alexander,Quest for Ula's Temple,Rare
1U,Creature — Merfolk Soldier 2/1,Anthony Francisco,Sejiri Merfolk,Uncommon
3U,Sorcery,Chippy,Selective Memory,Rare
2U,Instant,Wayne Reynolds,Spell Contortion,Uncommon
4U,Creature — Surrakar 3/3,Matt Cavotta,Surrakar Banisher,Common
1UU,Legendary Creature — Merfolk Rogue 2/2,Andrew Robinson,"Thada Adel, Acquisitor",Rare
2U,Creature — Elemental 2/1,Donato Giancola,Tideforce Elemental,Uncommon
{UP},Instant,Erica Yang,Mental Misstep,Uncommon
5U,Sorcery,Cos Koniotis,Mindculling,Uncommon
3UU,Enchantment — Aura,Brad Rigney,Numbing Dose,Common
6U,Creature — Beast 3/3,Chris Rahn,Phyrexian Ingester,Rare
3{UP},Artifact Creature — Shapeshifter 0/0,Jana Schirmer &amp; Johannes Voss,Phyrexian Metamorph,Rare
UU,Instant,Dan Scott,Psychic Barrier,Common
1U,Enchantment,Anthony Francisco,Psychic Surgery,Rare
2{UP},Artifact Creature — Thopter 2/1,Pete Venters,Spined Thopter,Common
2WW,Enchantment,David Rapoza,Séance,Rare
3WW,Creature — Griffin 3/2,Daniel Ljunggren,Silverclaw Griffin,Common
1W,Instant,Jason Felix,Skillful Lunge,Common
5W,Sorcery,Cliff Childs,Sudden Disappearance,Rare
1W,Legendary Creature — Human Soldier 2/1,Jana Schirmer &amp; Johannes Voss,"Thalia, Guardian of Thraben",Rare
1WW,Creature — Human Cleric 2/2,John Stanko,Thraben Doomsayer,Rare
1W,Creature — Human Wizard 2/2,James Ryman,Thraben Heretic,Uncommon
U,Sorcery,Tomasz Jedruszek,Artful Dodge,Common
2UU,Creature — Sphinx 4/3,Chris Rahn,Argent Sphinx,Rare
3U,Enchantment — Aura,Steven Belledin,Bonds of Quicksilver,Common
2UU,Creature — Drake 2/4,Chippy,Darkslick Drake,Uncommon
1U,Instant,Adrian Smith,Disperse,Common
2UU,Enchantment,Matt Cavotta,Dissipation Field,Rare
1UU,Creature — Vedalken Artificer 1/3,Steven Belledin,Grand Architect,Rare
2U,Instant,Izzy,Halt Order,Uncommon
3UU,Enchantment,Dave Kendall,Inexorable Tide,Rare
3U,Creature — Drake 2/2,Johann Bodin,Lumengrid Drake,Common
3WWW,Enchantment — Aura,Steve Argyle,Celestial Mantle,Rare
1W,Creature — Kor Scout 2/1,Paul Bonner,Cliff Threader,Common
2WWW,Sorcery,Kev Walker,Conqueror's Pledge,Rare
2WW,Sorcery,Vincent Proce,Day of Judgment,Rare
WWW,Creature — Kor Cleric 2/2,Shelly Wan,Devout Lightcaster,Rare
2WW,Creature — Angel 3/3,Jim Murray,Emeria Angel,Rare
4WW,Creature — Cat Beast 4/6,Zoltan Boros &amp; Gabor Szikszai,Felidar Sovereign,Mythic Rare
6WWW,Legendary Creature — Angel 7/7,Jason Chan,"Iona, Shield of Emeria",Mythic Rare
1W,Enchantment,Warren Mahy,Journey to Nowhere,Common
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      180 cards
    ",,,
,,,,
3WW,Creature — Archon 4/4,Jason Chan,Archon of Justice,Rare
3W,Creature — Kithkin Soldier 2/2,Randy Gallegos,Ballynock Trapper,Common
3W,Sorcery,Matt Cavotta,Cenn's Enlistment,Common
3W,Enchantment,Joshua Hagler,Endless Horizons,Rare
3WW,Instant,Ralph Horsley,Endure,Uncommon
1WW,Creature — Elemental 3/1,Jeremy Enecio,Flickerwisp,Uncommon
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      249 cards
    ",,,
,,,,
W,Creature — Human Soldier 1/1,Todd Lockwood,Akrasan Squire,Common
W,Creature — Human Cleric 1/1,Greg Staples,Angel's Herald,Uncommon
3W,Enchantment,Michael Komarck,Angelic Benediction,Uncommon
1W,Instant,Sal Villagran,Angelsong,Common
2W,Creature — Human Wizard 2/2,Donato Giancola,Bant Battlemage,Uncommon
3WW,Creature — Angel 4/4,Matt Stewart,Battlegrace Angel,Rare
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      301 cards
    ",,,
,,,,
2WW,Planeswalker — Ajani (Loyalty: 4),Aleksi Briclot,Ajani Goldmane,Rare
6W,Creature — Giant Wizard 5/5,Brandon Dorman,Arbiter of Knollridge,Rare
4WW,Sorcery,Wayne England,Austere Command,Rare
2W,Creature — Shapeshifter 2/2,Heather Hudson,Avian Changeling,Common
2W,Enchantment — Aura,Zoltan Boros &amp; Gabor Szikszai,Battle Mastery,Uncommon
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      145 cards
    ",,,
,,,,
4W,Creature — Bird Wizard 3/3,Mark Zug,Aerie Mystics,Uncommon
2W,Enchantment — Aura,Donato Giancola,Asha's Favor,Common
1W,Creature — Bird Soldier 1/1,David Palumbo,Aven Squire,Common
2W,Creature — Bird Soldier 2/*,Chris Rahn,Aven Trailblazer,Common
1W,Instant,David Palumbo,Celestial Purge,Uncommon
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      150 cards
    ",,,
,,,,
1W,Creature — Kithkin Soldier 2/1,Ralph Horsley,Ballyrush Banneret,Common
3WW,Creature — Kithkin Cleric 3/4,Steve Prescott,Battletide Alchemist,Rare
2W,Creature — Kithkin Soldier 2/2,Ron Spencer,Burrenton Bombardier,Common
4W,Creature — Kithkin Soldier 3/3,Daren Bader,Burrenton Shield-Bearers,Common
W,Creature — Kithkin Soldier 1/1,Zoltan Boros &amp; Gabor Szikszai,Cenn's Tactician,Uncommon
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      145 cards
    ",,,
,,,,
1WU,Enchantment,Chippy,Ardent Plea,Uncommon
1WU,Creature — Bird Wizard 3/1,Jesper Ejsing,Aven Mimeomancer,Rare
WU,Artifact Creature — Human Knight 1/3,Steven Belledin,Ethercaste Knight,Common
1WU,Artifact Creature — Vedalken Wizard 2/2,Daarken,Ethersworn Shieldmage,Common
1WU,Artifact,Michael Bruinsma,Fieldmist Borderpost,Common
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      301 cards
    ",,,
,,,,
W,Creature — Kithkin Cleric 1/1,Kev Walker,Apothecary Initiate,Common
3W,Enchantment — Aura,Matt Cavotta,Armored Ascension,Uncommon
2W,Creature — Kithkin Soldier 2/2,Jesper Ejsing,Ballynock Cohort,Common
4W,Creature — Kithkin Cleric 0/4,Trevor Hairsine,Barrenton Medic,Common
4W,Enchantment,Terese Nielsen &amp; Ron Spencer,Boon Reflection,Rare
W,Creature — Insect 0/1,Howard Lyon,Goldenglow Moth,Common
3U,Sorcery,Anthony Francisco,Vivisection,Common
XBB,Sorcery,Daniel Ljunggren,Black Sun's Zenith,Rare
5B,Creature — Hound 4/4,Dave Allsop,Caustic Hound,Common
1B,Creature — Gremlin 1/1,Dave Allsop,Flensermite,Common
3B,Creature — Imp 2/2,Johann Bodin,Flesh-Eater Imp,Uncommon
1B,Instant,David Rapoza,Go for the Throat,Uncommon
2B,Sorcery,Adrian Smith,Gruesome Encore,Uncommon
B,Sorcery,Shelly Wan,Horrifying Revelation,Common
3BBB,Creature — Wurm 6/5,Jason Chan,Massacre Wurm,Mythic Rare
WW,Creature — Spirit Knight 2/2,Igor Kieryluk,Spectral Rider,Uncommon
1W,Enchantment,Wayne England,Stony Silence,Rare
4W,Creature — Hound 3/5,Martina Pilcerova,Thraben Purebloods,Common
3W,Creature — Human Soldier 2/2,David Rapoza,Thraben Sentry,Common
,Creature — Human Soldier 5/4,David Rapoza,Thraben Militia,Common
1W,Creature — Human 1/1,Ryan Pancoast,Unruly Mob,Common
1W,Instant,Svetlin Velinov,Urgent Exorcism,Common
2W,Creature — Human Scout 1/4,David Palumbo,Village Bell-Ringer,Common
1W,Creature — Kor Wizard 0/2,Scott Chou,Kor Spiritdancer,Rare
2WW,Enchantment,Eric Deschamps,Lightmine Field,Rare
2WW,Legendary Creature — Angel 3/4,Igor Kieryluk,"Linvala, Keeper of Silence",Mythic Rare
1W,Creature — Kor Monk 2/1,Svetlin Velinov,Lone Missionary,Common
2W,Enchantment — Aura,Mike Bierek,Luminous Wake,Uncommon
3W,Creature — Griffin 2/4,Izzy,Makindi Griffin,Common
4W,Enchantment — Aura,Howard Lyon,Mammoth Umbra,Uncommon
2WWW,Enchantment,Dan Scott,Near-Death Experience,Rare
1WW,Creature — Angel 3/3,Scott Chou,Emancipation Angel,Uncommon
XXWWW,Sorcery,Todd Lockwood,Entreat the Angels,Mythic Rare
2W,Creature — Human Scout 2/3,Scott Chou,Farbog Explorer,Common
3W,Creature — Human Cleric Soldier 2/2,Chris Rahn,Goldnight Commander,Uncommon
4WW,Creature — Angel 4/4,Karl Kopinski,Goldnight Redeemer,Uncommon
3WW,Creature — Angel 3/3,Eric Deschamps,Herald of War,Rare
3W,Creature — Human Cleric 2/1,David Rapoza,Holy Justiciar,Uncommon
2W,Instant,Gabor Szikszai,Leap of Faith,Common
1U,Sorcery,Daren Bader,Treasure Hunt,Common
